1710	18821.10	27	2.28	697.08	9283.57	30.30%	0.00000000	MaximumRisk=0.1 	h_williamsS=70 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-80	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
13240	18817.96	45	1.73	418.18	15044.86	49.76%	0.00000000	MaximumRisk=0.1 	h_williamsS=30 	h_williamsL=30 	williams_thresholdS=-4 	williams_thresholdL=-96	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
4989	18803.46	30	2.76	626.78	8140.20	33.99%	0.00000000	MaximumRisk=0.09 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-2 	williams_thresholdL=-84	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
13318	18790.22	33	2.45	569.40	10193.92	40.16%	0.00000000	MaximumRisk=0.08 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-96	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
10040	18679.11	28	1.91	667.11	12996.64	44.90%	0.00000000	MaximumRisk=0.1 	h_williamsS=70 	h_williamsL=90 	williams_thresholdS=-6 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
8190	18638.38	16	7.72	1164.90	4898.27	28.55%	0.00000000	MaximumRisk=0.1 	h_williamsS=150 	h_williamsL=110 	williams_thresholdS=-2 	williams_thresholdL=-88	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
10570	18539.92	19	4.83	975.79	6698.04	29.25%	0.00000000	MaximumRisk=0.1 	h_williamsS=150 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
6950	18517.78	40	1.95	462.94	9594.82	37.75%	0.00000000	MaximumRisk=0.1 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-6 	williams_thresholdL=-88	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
7437	18503.47	37	2.70	500.09	5667.68	24.25%	0.00000000	MaximumRisk=0.07 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-88	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
13309	18490.10	39	2.01	474.11	11391.45	45.24%	0.00000000	MaximumRisk=0.09 	h_williamsS=30 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-96	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
7448	18469.07	30	3.06	615.64	6424.26	22.79%	0.00000000	MaximumRisk=0.08 	h_williamsS=70 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-88	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
1689	18391.23	41	1.83	448.57	12431.56	45.53%	0.00000000	MaximumRisk=0.09 	h_williamsS=30 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-80	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
10319	18369.33	33	2.88	556.65	7834.49	28.71%	0.00000000	MaximumRisk=0.09 	h_williamsS=70 	h_williamsL=30 	williams_thresholdS=-4 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
2050	18347.12	30	2.44	611.57	8789.01	36.66%	0.00000000	MaximumRisk=0.1 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-2 	williams_thresholdL=-80	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
9889	18287.11	39	2.18	468.90	7973.95	32.84%	0.00000000	MaximumRisk=0.09 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-6 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
