52	-10.00	200	0.82	-0.05	14.65	0.15%	0.00000000	h1_value=15 	h_williamsS=35 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
53	-11.60	191	0.79	-0.06	16.74	0.17%	0.00000000	h1_value=20 	h_williamsS=35 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
54	-11.99	186	0.78	-0.06	16.89	0.17%	0.00000000	h1_value=25 	h_williamsS=35 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
55	-11.60	180	0.78	-0.06	16.56	0.17%	0.00000000	h1_value=30 	h_williamsS=35 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
56	-10.29	176	0.80	-0.06	14.84	0.15%	0.00000000	h1_value=35 	h_williamsS=35 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
57	-10.45	163	0.79	-0.06	14.48	0.14%	0.00000000	h1_value=40 	h_williamsS=35 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
58	-9.90	154	0.78	-0.06	15.06	0.15%	0.00000000	h1_value=45 	h_williamsS=35 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
59	-13.17	144	0.72	-0.09	16.02	0.16%	0.00000000	h1_value=50 	h_williamsS=35 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
60	-12.59	134	0.71	-0.09	15.65	0.16%	0.00000000	h1_value=55 	h_williamsS=35 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
61	-13.45	185	0.74	-0.07	16.58	0.17%	0.00000000	h1_value=10 	h_williamsS=40 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
62	-13.47	179	0.74	-0.08	16.68	0.17%	0.00000000	h1_value=15 	h_williamsS=40 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
63	-13.00	176	0.75	-0.07	16.33	0.16%	0.00000000	h1_value=20 	h_williamsS=40 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
64	-12.84	172	0.75	-0.07	16.22	0.16%	0.00000000	h1_value=25 	h_williamsS=40 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
65	-12.22	169	0.76	-0.07	16.32	0.16%	0.00000000	h1_value=30 	h_williamsS=40 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
66	-12.61	166	0.75	-0.08	16.36	0.16%	0.00000000	h1_value=35 	h_williamsS=40 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
