1779	2.80	304	1.06	0.01	7.10	0.07%	0.00000000	h1_value=38 	h_williamsS=5 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1780	1.75	298	1.04	0.01	7.19	0.07%	0.00000000	h1_value=40 	h_williamsS=5 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1781	2.40	292	1.06	0.01	6.51	0.07%	0.00000000	h1_value=42 	h_williamsS=5 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1782	1.93	288	1.05	0.01	7.01	0.07%	0.00000000	h1_value=44 	h_williamsS=5 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1783	0.13	283	1.00	0.00	8.77	0.09%	0.00000000	h1_value=46 	h_williamsS=5 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1784	1.02	274	1.03	0.00	7.94	0.08%	0.00000000	h1_value=48 	h_williamsS=5 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1785	2.70	266	1.07	0.01	6.29	0.06%	0.00000000	h1_value=50 	h_williamsS=5 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1786	7.68	774	1.08	0.01	6.97	0.07%	0.00000000	h1_value=10 	h_williamsS=10 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1787	7.13	737	1.07	0.01	6.96	0.07%	0.00000000	h1_value=12 	h_williamsS=10 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1788	4.28	667	1.05	0.01	7.76	0.08%	0.00000000	h1_value=14 	h_williamsS=10 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
