trade;call wrate;put wrate;;;net
621;0.51;0.6;510;600;3300
622;0.51;0.6;510;600;3380
623;0.51;0.6;510;600;3460
624;0.51;0.6;510;600;3360
625;0.51;0.6;510;600;3260
626;0.51;0.61;510;610;3340
627;0.51;0.61;510;610;3340
628;0.51;0.61;510;610;3240
629;0.51;0.61;510;610;3320
630;0.51;0.61;510;610;3400
631;0.52;0.61;520;610;3300
632;0.51;0.61;510;610;3380
633;0.51;0.62;510;620;3460
634;0.51;0.62;510;620;3540
635;0.51;0.62;510;620;3440
636;0.51;0.62;510;620;3340
637;0.52;0.62;520;620;3420
638;0.53;0.62;530;620;3500
639;0.53;0.62;530;620;3580
640;0.53;0.61;530;610;3480
641;0.53;0.61;530;610;3380
642;0.53;0.61;530;610;3460
643;0.53;0.6;530;600;3360
644;0.53;0.59;530;590;3260
645;0.53;0.59;530;590;3340
646;0.54;0.59;540;590;3420
647;0.54;0.58;540;580;3320
648;0.54;0.58;540;580;3400
649;0.54;0.58;540;580;3300
650;0.53;0.58;530;580;3380
651;0.54;0.58;540;580;3280
652;0.53;0.58;530;580;3360
653;0.53;0.57;530;570;3260
654;0.54;0.57;540;570;3160
655;0.54;0.57;540;570;3240
656;0.54;0.56;540;560;3140
657;0.54;0.56;540;560;3040
658;0.54;0.55;540;550;3120
659;0.54;0.55;540;550;3020
660;0.54;0.55;540;550;3020
661;0.54;0.55;540;550;3100
662;0.54;0.54;540;540;3180
663;0.54;0.54;540;540;3260
664;0.54;0.54;540;540;3160
665;0.54;0.54;540;540;3060
666;0.54;0.54;540;540;2960
667;0.53;0.54;530;540;3040
668;0.53;0.53;530;530;2940
669;0.53;0.52;530;520;3020
670;0.53;0.52;530;520;2920
671;0.53;0.52;530;520;3000
672;0.54;0.52;540;520;3080
673;0.54;0.52;540;520;3160
674;0.54;0.53;540;530;3240
675;0.54;0.53;540;530;3140
676;0.54;0.54;540;540;3220
677;0.54;0.54;540;540;3120
678;0.54;0.53;540;530;3020
679;0.54;0.52;540;520;3100
680;0.54;0.52;540;520;3180
681;0.54;0.52;540;520;3260
682;0.54;0.53;540;530;3160
683;0.53;0.53;530;530;3060
684;0.53;0.52;530;520;3140
685;0.53;0.53;530;530;3040
686;0.53;0.52;530;520;3120
687;0.52;0.52;520;520;3020
688;0.52;0.52;520;520;3100
689;0.52;0.52;520;520;3000
690;0.51;0.52;510;520;3080
691;0.51;0.53;510;530;3160
692;0.51;0.53;510;530;3060
693;0.52;0.53;520;530;2960
694;0.52;0.53;520;530;3040
695;0.52;0.53;520;530;2940
696;0.52;0.53;520;530;3020
697;0.51;0.53;510;530;2920
698;0.5;0.53;500;530;2820
699;0.49;0.53;490;530;2900
700;0.49;0.53;490;530;2980
701;0.5;0.53;500;530;2880
702;0.49;0.53;490;530;2780
703;0.49;0.54;490;540;2680
704;0.49;0.53;490;530;2580
705;0.49;0.53;490;530;2660
706;0.49;0.52;490;520;2560
707;0.49;0.52;490;520;2460
708;0.49;0.52;490;520;2540
709;0.49;0.52;490;520;2620
710;0.49;0.52;490;520;2520
711;0.49;0.52;490;520;2420
712;0.49;0.52;490;520;2500
713;0.5;0.52;500;520;2400
714;0.5;0.52;500;520;2300
715;0.49;0.52;490;520;2380
716;0.49;0.51;490;510;2280
717;0.49;0.5;490;500;2360
718;0.49;0.5;490;500;2440
719;0.49;0.51;490;510;2340
720;0.49;0.51;490;510;2420
721;0.49;0.51;490;510;2500
722;0.49;0.51;490;510;2400
723;0.49;0.51;490;510;2300
724;0.49;0.5;490;500;2380
725;0.5;0.5;500;500;2280
726;0.5;0.5;500;500;2180
727;0.5;0.51;500;510;2260
728;0.5;0.52;500;520;2160
729;0.5;0.51;500;510;2240
730;0.5;0.52;500;520;2140
731;0.5;0.51;500;510;2220
732;0.5;0.51;500;510;2120
733;0.5;0.5;500;500;2200
734;0.5;0.5;500;500;2280
735;0.5;0.5;500;500;2360
736;0.51;0.5;510;500;2260
737;0.51;0.5;510;500;2160
738;0.51;0.49;510;490;2060
739;0.51;0.49;510;490;1960
740;0.51;0.49;510;490;1860
741;0.51;0.49;510;490;1940
742;0.51;0.49;510;490;1840
743;0.5;0.49;500;490;1920
744;0.51;0.49;510;490;2000
745;0.51;0.49;510;490;2080
746;0.51;0.49;510;490;2160
747;0.51;0.49;510;490;2240
748;0.52;0.49;520;490;2320
749;0.52;0.49;520;490;2320
750;0.53;0.49;530;490;2400
751;0.54;0.49;540;490;2480
752;0.54;0.49;540;490;2560
753;0.54;0.5;540;500;2640
754;0.55;0.5;550;500;2540
755;0.55;0.5;550;500;2620
756;0.55;0.5;550;500;2520
757;0.55;0.49;550;490;2600
758;0.55;0.49;550;490;2500
759;0.55;0.49;550;490;2580
760;0.56;0.49;560;490;2660
761;0.56;0.49;560;490;2560
762;0.55;0.49;550;490;2640
763;0.55;0.49;550;490;2720
764;0.55;0.49;550;490;2800
765;0.55;0.49;550;490;2880
766;0.56;0.49;560;490;2960
767;0.56;0.49;560;490;2860
768;0.55;0.49;550;490;2940
769;0.55;0.49;550;490;3020
770;0.55;0.49;550;490;2920
771;0.56;0.49;560;490;2820
772;0.56;0.49;560;490;2720
773;0.56;0.48;560;480;2800
774;0.55;0.48;550;480;2700
775;0.54;0.48;540;480;2600
776;0.54;0.48;540;480;2500
777;0.54;0.48;540;480;2580
778;0.54;0.48;540;480;2480
779;0.54;0.49;540;490;2560
780;0.54;0.5;540;500;2460
781;0.54;0.49;540;490;2540
782;0.54;0.5;540;500;2620
783;0.54;0.5;540;500;2700
784;0.53;0.5;530;500;2780
785;0.53;0.51;530;510;2860
786;0.54;0.51;540;510;2940
787;0.54;0.51;540;510;3020
788;0.54;0.51;540;510;2920
789;0.54;0.5;540;500;2820
790;0.54;0.5;540;500;2720
791;0.54;0.5;540;500;2620
792;0.54;0.5;540;500;2520
793;0.54;0.5;540;500;2600
794;0.54;0.5;540;500;2500
795;0.54;0.5;540;500;2400
796;0.54;0.49;540;490;2480
797;0.54;0.49;540;490;2380
798;0.54;0.49;540;490;2460
799;0.54;0.49;540;490;2540
800;0.54;0.48;540;480;2620
801;0.54;0.48;540;480;2700
802;0.54;0.48;540;480;2600
803;0.53;0.48;530;480;2500
804;0.53;0.49;530;490;2580
805;0.53;0.49;530;490;2660
806;0.53;0.49;530;490;2740
807;0.53;0.5;530;500;2820
808;0.54;0.5;540;500;2720
809;0.54;0.5;540;500;2800
810;0.54;0.51;540;510;2880
811;0.55;0.51;550;510;2960
812;0.56;0.51;560;510;2860
813;0.56;0.51;560;510;2760
814;0.56;0.51;560;510;2840
815;0.56;0.51;560;510;2740
816;0.56;0.5;560;500;2820
817;0.56;0.5;560;500;2900
818;0.57;0.5;570;500;2800
