,0
1607,6132.5
1608,6113.0
1609,6088.5
1610,6084.0
1611,6093.5
1612,6096.0
1613,6129.5
1614,6130.0
1615,6163.5
1616,6138.0
1617,6152.5
1618,6127.0
1619,6134.5
1620,6106.0
1621,6052.5
1622,6020.0
1623,6058.5
1624,6095.0
1625,6100.5
1626,6134.0
1627,6141.5
1628,6105.0
1629,6064.5
1630,6027.0
1631,5991.5
1632,5992.0
1633,6028.5
1634,5986.0
1635,5947.5
1636,5994.0
1637,6040.5
1638,6054.0
1639,6006.5
1640,6021.0
1641,6034.5
1642,6028.0
1643,6027.5
1644,6034.0
1645,5999.5
1646,5958.0
1647,5944.5
1648,5915.0
1649,5941.5
1650,5976.0
1651,6003.5
1652,6022.0
1653,6065.5
1654,6054.0
1655,6020.5
1656,6063.0
1657,6078.5
1658,6039.0
1659,6039.5
1660,6063.0
1661,6022.5
1662,6036.0
1663,5983.5
1664,5937.0
1665,5938.5
1666,5927.0
1667,5930.5
1668,5924.0
1669,5932.5
1670,5936.0
1671,6017.5
1672,5989.0
1673,6006.5
1674,6008.0
1675,6004.5
1676,6034.0
1677,6013.5
1678,5955.0
1679,5967.5
1680,5976.0
1681,6014.5
1682,6007.0
1683,6041.5
1684,6022.0
1685,6060.5
1686,6058.0
1687,6089.5
1688,6094.0
1689,6081.5
1690,6083.0
1691,6128.5
1692,6134.0
1693,6136.5
1694,6145.0
1695,6173.5
1696,6157.0
1697,6165.5
1698,6165.0
1699,6211.5
1700,6300.0
1701,6349.5
1702,6371.0
1703,6381.5
1704,6389.0
1705,6402.5
1706,6426.0
1707,6425.5
1708,6466.0
1709,6478.5
1710,6485.0
1711,6528.5
1712,6533.0
1713,6522.5
1714,6558.0
1715,6503.5
1716,6475.0
1717,6490.5
1718,6416.0
1719,6396.5
1720,6454.0
1721,6493.5
1722,6479.0
1723,6523.5
1724,6545.0
1725,6540.5
1726,6488.0
1727,6486.5
1728,6483.0
1729,6472.5
1730,6471.0
1731,6481.5
1732,6475.0
1733,6493.5
1734,6499.0
1735,6438.5
1736,6431.0
1737,6468.5
1738,6428.0
1739,6434.5
1740,6388.0
1741,6339.5
1742,6350.0
1743,6404.5
1744,6398.0
1745,6403.5
1746,6413.0
1747,6363.5
1748,6381.0
1749,6390.5
1750,6378.0
1751,6380.5
1752,6357.0
1753,6402.5
1754,6420.0
1755,6442.5
1756,6458.0
1757,6375.5
1758,6419.0
1759,6352.5
1760,6368.0
1761,6367.5
1762,6399.0
1763,6438.5
1764,6446.0
1765,6446.5
1766,6375.0
1767,6380.5
1768,6353.0
1769,6429.5
1770,6439.0
1771,6430.5
1772,6464.0
1773,6392.5
1774,6410.0
1775,6410.5
1776,6402.0
1777,6329.5
1778,6363.0
1779,6343.5
1780,6348.0
1781,6369.5
1782,6308.0
1783,6318.5
1784,6315.0
1785,6366.5
1786,6403.0
1787,6380.5
1788,6399.0
1789,6425.5
1790,6453.0
1791,6437.5
1792,6458.0
1793,6493.5
1794,6580.0
1795,6540.5
1796,6545.0
1797,6481.5
1798,6464.0
1799,6471.5
1800,6383.0
1801,6392.5
1802,6391.0
1803,6393.5
1804,6430.0
1805,6354.5
1806,6364.0
1807,6363.5
1808,6417.0
1809,6425.5
1810,6448.0
1811,6522.5
1812,6521.0
1813,6586.5
1814,6578.0
1815,6556.5
1816,6565.0
1817,6626.5
1818,6567.0
1819,6584.5
1820,6572.0
1821,6535.5
1822,6533.0
1823,6541.5
1824,6515.0
1825,6547.5
1826,6574.0
1827,6576.5
1828,6570.0
1829,6588.5
1830,6608.0
1831,6623.5
1832,6623.0
1833,6630.5
1834,6636.0
1835,6624.5
1836,6695.0
1837,6722.5
1838,6746.0
1839,6712.5
1840,6718.0
1841,6727.5
1842,6734.0
1843,6734.5
1844,6739.0
1845,6741.5
1846,6768.0
1847,6792.5
1848,6807.0
1849,6872.5
1850,6888.0
1851,6861.5
1852,6864.0
1853,6820.5
1854,6892.0
1855,6884.5
1856,6887.0
1857,6873.5
1858,6856.0
1859,6854.5
1860,6798.0
1861,6590.5
1862,6557.0
1863,6474.5
1864,6540.0
1865,6546.5
1866,6583.0
1867,6569.5
1868,6585.0
1869,6580.5
1870,6547.0
1871,6553.5
1872,6586.0
1873,6586.5
1874,6653.0
1875,6743.5
1876,6698.0
1877,6722.5
1878,6723.0
1879,6727.5
1880,6729.0
1881,6671.5
1882,6718.0
1883,6727.5
1884,6683.0
1885,6637.5
1886,6654.0
1887,6649.5
1888,6708.0
1889,6721.5
1890,6701.0
1891,6752.5
1892,6741.0
1893,6745.5
1894,6715.0
1895,6697.5
1896,6725.0
1897,6751.5
1898,6778.0
1899,6837.5
