81	29.21	316	1.59	0.09	9.32	0.09%	0.00000000	wrate_lookback=20 	k_delta_calc=0.2 	wrate_target=0.73	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
24	29.00	338	1.57	0.09	12.67	0.13%	0.00000000	wrate_lookback=80 	k_delta_calc=0.8 	wrate_target=0.61	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
106	28.40	309	1.58	0.09	9.32	0.09%	0.00000000	wrate_lookback=20 	k_delta_calc=0.2 	wrate_target=0.77	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
66	27.32	310	1.56	0.09	10.75	0.11%	0.00000000	wrate_lookback=20 	k_delta_calc=0.6 	wrate_target=0.69	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
121	27.24	259	1.69	0.11	11.30	0.11%	0.00000000	wrate_lookback=20 	k_delta_calc=0.8 	wrate_target=0.77	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
48	27.12	328	1.49	0.08	12.66	0.13%	0.00000000	wrate_lookback=60 	k_delta_calc=0.8 	wrate_target=0.65	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
98	26.91	278	1.60	0.10	6.17	0.06%	0.00000000	wrate_lookback=60 	k_delta_calc=0.8 	wrate_target=0.73	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
103	26.86	237	1.70	0.11	12.66	0.13%	0.00000000	wrate_lookback=60 	k_delta_calc=0 	wrate_target=0.77	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
78	26.86	237	1.70	0.11	12.66	0.13%	0.00000000	wrate_lookback=60 	k_delta_calc=0 	wrate_target=0.73	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
53	26.86	237	1.70	0.11	12.66	0.13%	0.00000000	wrate_lookback=60 	k_delta_calc=0 	wrate_target=0.69	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
